scode,year,demand_reviewed_chunk_count,demand_label_complete,demand_positive_chunk_count,candidate_screened,evidence_count,positive_chunk_count,overseas_demand,ln_evidence_count,assets,liabilities,fixed_assets,revenue,operating_cost,rd_expense,net_profit,intermediate_cash_paid,employees,establish_date,listed_date,regcap,equity_nature,soe,province,coastal,firm_age,listing_age,roa,leverage,rd_intensity,ln_regcap,overseas_rev_share,regional_revenue_quality,regional_total_rows,regional_overseas_rows,regional_ambiguous_rows,subsidiary_source_present,active_sub_count,foreign_sub_count,hmt_sub_count,foreign_country_count,overseas_sub_count,overseas_country_count,subsidiary_region_missing_count,has_foreign_sub,has_foreign_or_hmt_sub,has_overseas_sub,lag_subsidiary_source_present,lag_active_sub_count,lag_foreign_sub_count,lag_hmt_sub_count,lag_foreign_country_count,lag_overseas_sub_count,lag_overseas_country_count,lag_has_foreign_sub,lag_has_foreign_or_hmt_sub,lag_has_overseas_sub,new_foreign_sub_t1,new_foreign_sub_t1_eligible,new_overseas_sub_t1,new_overseas_sub_t1_eligible,missing_sub,missing_revenue
600261,2022,25,1,2,1,2,2,1.0,1.0986122886681098,5569227494.95,1954780733.19,1069985670.69,3731165030.51,2673741051.87,136669650.49,177321869.41,2740329192.05,4666,1997-07-16,2000-07-20,1335052966,民营,0.0,浙江省,1,25,22,0.0318395809061112,0.3509967468490977,0.0366292161757635,21.01223680291796,0.0,sheet4_total_only_zero,1.0,0.0,0.0,1.0,32.0,,,,,,1.0,,,,1.0,29.0,12.0,1.0,8.0,13.0,9.0,1.0,1.0,1.0,,0,,0,True,False
600487,2019,13,1,2,1,2,2,1.0,1.0986122886681098,41247482963.25,24782881615.44,7706615931.49,29870079877.4,24504634966.37,1067013312.98,1339529921.94,26060902518.73,17963,1993-06-05,2003-08-22,2466343957,民营,0.0,江苏省,1,26,16,0.0324754342739767,0.6008337923921476,0.0357218098297525,21.62600271168642,0.0,sheet4_total_only_zero,1.0,0.0,0.0,1.0,153.0,,,,,,3.0,,,,1.0,119.0,15.0,1.0,14.0,16.0,15.0,1.0,1.0,1.0,,0,,0,True,False
600690,2019,39,1,2,1,2,2,1.0,1.0986122886681098,187454236283.17,122464376015.24,21180057212.01,200761983256.57,140868398722.26,6266936518.17,12334392517.1,141035818536.96,99757,1989-04-28,1993-11-19,9377629650,其他,0.0,山东省,1,30,26,0.0657994866462636,0.6533027924225956,0.0312157531845109,22.96159286547124,0.0,sheet4_total_only_zero,1.0,0.0,0.0,1.0,118.0,,,,,,1.0,,,,1.0,107.0,6.0,3.0,4.0,9.0,5.0,1.0,1.0,1.0,,0,,0,True,False
600690,2021,65,1,3,1,3,3,1.0,1.3862943611198906,217459494212.74,136376532787.02,22307089801.15,227556143618.17,156482657366.94,8357332946.25,13217067178.51,180877179178.59,104874,1989-04-28,1993-11-19,9377629650,其他,0.0,山东省,1,32,28,0.0607794441275568,0.6271353351608702,0.0367264658882304,22.96159286547124,0.0,sheet4_total_only_zero,1.0,0.0,0.0,1.0,123.0,,,,,,1.0,,,,1.0,99.0,5.0,2.0,5.0,7.0,6.0,1.0,1.0,1.0,,0,,0,True,False
601222,2018,8,1,1,1,1,1,1.0,0.6931471805599453,17468564492.57,7513241264.86,8891288918.75,4016739559.85,2497525919.91,147563320.87,765080903.11,2077691385.46,3886,1995-11-06,2011-08-08,2041220156,民营,0.0,江苏省,1,23,7,0.0437975829917458,0.4301006684353283,0.0367370895402316,21.43681358168892,0.0,sheet4_total_only_zero,1.0,0.0,0.0,1.0,123.0,,,,,,1.0,,,,1.0,116.0,4.0,0.0,3.0,4.0,3.0,1.0,1.0,1.0,,0,,0,True,False
601222,2021,61,1,8,1,8,8,1.0,2.19722457733622,20509135495.86,6032640741.98,8398254863.51,5296565111.42,3424112837.89,138780056.6,932023897.5,3212393893.98,3379,1995-11-06,2011-08-08,2041220156,民营,0.0,江苏省,1,26,10,0.0454443288303468,0.2941440775598637,0.0262018975846769,21.43681358168892,0.0,sheet4_total_only_zero,1.0,0.0,0.0,1.0,166.0,,,,,,3.0,,,,1.0,142.0,,,,,,,,,,0,,0,True,False
601877,2019,18,1,1,1,1,1,1.0,0.6931471805599453,55277446536.83,30325835114.25,20706664233.98,30225906278.03,21408999922.73,979576671.6,3970704956.3,19641743405.69,25140,1997-08-05,2010-01-21,1005000000,民营,0.0,浙江省,1,22,9,0.0718322788961392,0.5486113598616507,0.0324085128362888,20.72825337845745,0.0,sheet4_total_only_zero,1.0,0.0,0.0,1.0,33.0,,,,,,1.0,,,,1.0,29.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,0,,0,True,False
603215,2022,27,1,4,1,4,4,1.0,1.6094379124341005,1519026432.41,522053116.02,245126205.31,1499207037.59,1206121802.99,64459845.12,178030825.32,1003826751.54,1653,2001-03-20,2022-02-18,214595078,外资,0.0,浙江省,1,21,0,0.1172006105499734,0.3436761236548994,0.0429959595331277,19.18426345220353,0.0,sheet4_total_only_zero,1.0,0.0,0.0,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,0,True,False
603728,2018,8,1,1,1,1,1,1.0,0.6931471805599453,2464819391.96,617035240.35,203018581.14,1894048056.32,1231336848.68,93861686.73,166760240.48,1301545825.18,3000,1998-07-07,2017-05-09,418882500,民营,0.0,上海市,1,20,1,0.0676561702751753,0.2503368978525196,0.0495561273732233,19.85310100896441,0.0,sheet4_total_only_zero,1.0,0.0,0.0,1.0,24.0,,,,,,2.0,,,,1.0,15.0,7.0,1.0,5.0,8.0,6.0,1.0,1.0,1.0,,0,,0,True,False
605365,2023,24,1,3,1,3,3,1.0,1.3862943611198906,6011143692.07,2488970667.39,972325088.98,6681124843.89,4693018075.48,447202504.68,313601184.3,4768550866.95,8440,2015-04-07,2021-07-20,502012876,民营,0.0,福建省,1,8,2,0.05216996970372,0.4140594194534879,0.066935211529384,20.034136326729453,0.0,sheet4_total_only_zero,1.0,0.0,0.0,1.0,48.0,,,,,,2.0,,,,1.0,43.0,12.0,14.0,5.0,26.0,7.0,1.0,1.0,1.0,,0,,0,True,False
688472,2023,102,1,5,1,5,5,1.0,1.791759469228055,65775366984.02,44295592181.87,16758691214.48,51309560777.53,44141852813.95,704057353.02,2887006194.05,48059197557.05,21375,2009-07-07,2023-06-09,3643140112,外资,0.0,江苏省,1,14,0,0.0438919055328325,0.6734374008529901,0.0137217575506576,22.016111814842635,0.0,sheet4_total_only_zero,1.0,0.0,0.0,1.0,37.0,,,,,,1.0,,,,,,,,,,,,,,,0,,0,True,False
