scode,year,pooled_score,same_year_score,pooled_grade,same_year_grade,abs_difference
000049,2018,0.443,0.474,蓄力,蓄力,0.030999999999999972
000049,2019,0.473,0.476,蓄力,蓄力,0.0030000000000000027
000049,2020,0.496,0.495,蓄力,蓄力,0.0010000000000000009
000049,2021,0.51,0.507,蓄力,蓄力,0.0030000000000000027
000049,2022,0.507,0.505,蓄力,蓄力,0.0020000000000000018
000049,2023,0.514,0.493,蓄力,蓄力,0.02100000000000002
000333,2018,0.684,0.693,蓄力,蓄力,0.008999999999999897
000333,2019,0.688,0.689,蓄力,蓄力,0.0010000000000000009
000333,2020,0.68,0.673,蓄力,蓄力,0.007000000000000006
000333,2021,0.687,0.688,蓄力,蓄力,0.0009999999999998899
000333,2022,0.698,0.702,蓄力,就绪,0.0040000000000000036
000333,2023,0.694,0.694,蓄力,蓄力,0.0
000400,2018,0.47,0.487,蓄力,蓄力,0.017000000000000015
000400,2019,0.497,0.507,蓄力,蓄力,0.010000000000000009
000400,2020,0.526,0.514,蓄力,蓄力,0.01200000000000001
000400,2021,0.561,0.572,蓄力,蓄力,0.010999999999999899
000400,2022,0.561,0.562,蓄力,蓄力,0.0010000000000000009
000400,2023,0.547,0.544,蓄力,蓄力,0.0030000000000000027
000521,2018,0.407,0.423,蓄力,蓄力,0.016000000000000014
000521,2019,0.408,0.407,蓄力,蓄力,0.0010000000000000009
000521,2020,0.405,0.398,蓄力,薄弱,0.007000000000000006
000521,2021,0.406,0.409,蓄力,蓄力,0.002999999999999947
000521,2022,0.429,0.424,蓄力,蓄力,0.0050000000000000044
000521,2023,0.465,0.451,蓄力,蓄力,0.014000000000000012
000533,2018,0.281,0.297,薄弱,薄弱,0.01599999999999996
000533,2019,0.402,0.417,蓄力,蓄力,0.014999999999999958
000533,2020,0.454,0.45,蓄力,蓄力,0.0040000000000000036
000533,2021,0.384,0.395,薄弱,薄弱,0.01100000000000001
000533,2022,0.399,0.389,薄弱,薄弱,0.010000000000000009
000533,2023,0.466,0.434,蓄力,蓄力,0.03200000000000003
000541,2018,0.613,0.635,蓄力,蓄力,0.02200000000000002
000541,2019,0.61,0.619,蓄力,蓄力,0.009000000000000008
000541,2020,0.599,0.592,蓄力,蓄力,0.007000000000000006
000541,2021,0.623,0.628,蓄力,蓄力,0.0050000000000000044
000541,2022,0.641,0.637,蓄力,蓄力,0.0040000000000000036
000541,2023,0.635,0.612,蓄力,蓄力,0.02300000000000002
000586,2018,0.225,0.234,薄弱,薄弱,0.009000000000000008
000586,2019,0.287,0.284,薄弱,薄弱,0.0030000000000000027
000586,2020,0.403,0.388,蓄力,薄弱,0.015000000000000013
000586,2021,0.435,0.447,蓄力,蓄力,0.01200000000000001
000586,2022,0.428,0.436,蓄力,蓄力,0.008000000000000007
