scode,year,pooled_score,same_year_score,pooled_grade,same_year_grade,abs_difference
000586,2023,0.406,0.399,蓄力,薄弱,0.007000000000000006
000651,2018,0.666,0.679,蓄力,蓄力,0.013000000000000012
000651,2019,0.652,0.649,蓄力,蓄力,0.0030000000000000027
000651,2020,0.681,0.676,蓄力,蓄力,0.0050000000000000044
000651,2021,0.634,0.634,蓄力,蓄力,0.0
000651,2022,0.586,0.585,蓄力,蓄力,0.0010000000000000009
000651,2023,0.605,0.606,蓄力,蓄力,0.0010000000000000009
000720,2018,0.584,0.579,蓄力,蓄力,0.0050000000000000044
000720,2019,0.558,0.543,蓄力,蓄力,0.015000000000000013
000720,2020,0.47,0.45,蓄力,蓄力,0.019999999999999962
000720,2021,0.351,0.364,薄弱,薄弱,0.013000000000000012
000720,2022,0.313,0.314,薄弱,薄弱,0.0010000000000000009
000720,2023,0.365,0.369,薄弱,薄弱,0.0040000000000000036
000809,2018,0.465,0.471,蓄力,蓄力,0.00599999999999995
000809,2019,0.427,0.41,蓄力,蓄力,0.017000000000000015
000809,2020,0.467,0.462,蓄力,蓄力,0.0050000000000000044
000809,2021,0.476,0.49,蓄力,蓄力,0.014000000000000012
000809,2022,0.477,0.476,蓄力,蓄力,0.0010000000000000009
000809,2023,0.458,0.451,蓄力,蓄力,0.007000000000000006
000921,2018,0.534,0.549,蓄力,蓄力,0.015000000000000013
000921,2019,0.539,0.539,蓄力,蓄力,0.0
000921,2020,0.589,0.579,蓄力,蓄力,0.010000000000000009
000921,2021,0.573,0.565,蓄力,蓄力,0.008000000000000007
000921,2022,0.61,0.608,蓄力,蓄力,0.0020000000000000018
000921,2023,0.625,0.629,蓄力,蓄力,0.0040000000000000036
000922,2018,0.506,0.505,蓄力,蓄力,0.0010000000000000009
000922,2019,0.541,0.537,蓄力,蓄力,0.0040000000000000036
000922,2020,0.519,0.511,蓄力,蓄力,0.008000000000000007
000922,2021,0.449,0.448,蓄力,蓄力,0.0010000000000000009
000922,2022,0.49,0.489,蓄力,蓄力,0.0010000000000000009
000922,2023,0.467,0.466,蓄力,蓄力,0.0010000000000000009
001208,2021,0.476,0.478,蓄力,蓄力,0.0020000000000000018
001208,2022,0.429,0.423,蓄力,蓄力,0.006000000000000005
001208,2023,0.407,0.399,蓄力,薄弱,0.007999999999999952
001259,2022,0.406,0.41,蓄力,蓄力,0.003999999999999948
001259,2023,0.388,0.382,薄弱,薄弱,0.006000000000000005
001283,2022,0.542,0.536,蓄力,蓄力,0.006000000000000005
001283,2023,0.54,0.524,蓄力,蓄力,0.016000000000000014
001326,2023,0.643,0.632,蓄力,蓄力,0.01100000000000001
001387,2023,0.376,0.374,薄弱,薄弱,0.0020000000000000018
002005,2018,0.561,0.569,蓄力,蓄力,0.007999999999999896
002005,2019,0.577,0.584,蓄力,蓄力,0.007000000000000006
002005,2020,0.422,0.423,蓄力,蓄力,0.0010000000000000009
002005,2021,0.388,0.383,薄弱,薄弱,0.0050000000000000044
002005,2022,0.368,0.363,薄弱,薄弱,0.0050000000000000044
002005,2023,0.282,0.264,薄弱,薄弱,0.01799999999999996
002026,2018,0.538,0.556,蓄力,蓄力,0.018000000000000016
002026,2019,0.494,0.513,蓄力,蓄力,0.019000000000000017
002026,2020,0.624,0.63,蓄力,蓄力,0.006000000000000005
002026,2021,0.65,0.657,蓄力,蓄力,0.007000000000000006
002026,2022,0.619,0.613,蓄力,蓄力,0.006000000000000005
002026,2023,0.601,0.574,蓄力,蓄力,0.027000000000000024
002028,2018,0.745,0.769,就绪,就绪,0.02400000000000002
002028,2019,0.779,0.777,就绪,就绪,0.0020000000000000018
002028,2020,0.821,0.821,就绪,就绪,0.0
002028,2021,0.836,0.845,就绪,就绪,0.009000000000000008
002028,2022,0.831,0.833,就绪,就绪,0.0020000000000000018
002028,2023,0.836,0.837,就绪,就绪,0.0010000000000000009
002032,2018,0.633,0.65,蓄力,蓄力,0.017000000000000015
002032,2019,0.66,0.661,蓄力,蓄力,0.0010000000000000009
002032,2020,0.657,0.655,蓄力,蓄力,0.0020000000000000018
002032,2021,0.638,0.643,蓄力,蓄力,0.0050000000000000044
002032,2022,0.643,0.644,蓄力,蓄力,0.0010000000000000009
002032,2023,0.615,0.608,蓄力,蓄力,0.007000000000000006
002035,2018,0.559,0.563,蓄力,蓄力,0.0039999999999998925
002035,2019,0.586,0.578,蓄力,蓄力,0.008000000000000007
002035,2020,0.584,0.568,蓄力,蓄力,0.016000000000000014
002035,2021,0.501,0.51,蓄力,蓄力,0.009000000000000008
002035,2022,0.489,0.492,蓄力,蓄力,0.0030000000000000027
002035,2023,0.54,0.543,蓄力,蓄力,0.0030000000000000027
002056,2018,0.758,0.782,就绪,就绪,0.02400000000000002
002056,2019,0.725,0.735,就绪,就绪,0.010000000000000009
002056,2020,0.746,0.747,就绪,就绪,0.0010000000000000009
002056,2021,0.721,0.728,就绪,就绪,0.007000000000000006
002056,2022,0.718,0.714,就绪,就绪,0.0040000000000000036
002056,2023,0.727,0.718,就绪,就绪,0.009000000000000008
002074,2018,0.584,0.602,蓄力,蓄力,0.018000000000000016
002074,2019,0.53,0.527,蓄力,蓄力,0.0030000000000000027
002074,2020,0.573,0.565,蓄力,蓄力,0.008000000000000007
002074,2021,0.575,0.583,蓄力,蓄力,0.008000000000000007
002074,2022,0.583,0.583,蓄力,蓄力,0.0
002074,2023,0.612,0.608,蓄力,蓄力,0.0040000000000000036
002076,2018,0.364,0.38,薄弱,薄弱,0.016000000000000014
002076,2019,0.287,0.295,薄弱,薄弱,0.008000000000000007
002076,2020,0.403,0.396,蓄力,薄弱,0.007000000000000006
002076,2021,0.263,0.27,薄弱,薄弱,0.007000000000000006
002076,2022,0.372,0.376,薄弱,薄弱,0.0040000000000000036
002076,2023,0.333,0.337,薄弱,薄弱,0.0040000000000000036
002090,2018,0.573,0.587,蓄力,蓄力,0.014000000000000012
002090,2019,0.519,0.53,蓄力,蓄力,0.01100000000000001
002090,2020,0.481,0.476,蓄力,蓄力,0.0050000000000000044
002090,2021,0.568,0.574,蓄力,蓄力,0.006000000000000005
002090,2022,0.472,0.469,蓄力,蓄力,0.0030000000000000027
002090,2023,0.459,0.45,蓄力,蓄力,0.009000000000000008
002112,2018,0.259,0.277,薄弱,薄弱,0.018000000000000016
002112,2019,0.261,0.253,薄弱,薄弱,0.008000000000000007
002112,2020,0.298,0.284,薄弱,薄弱,0.014000000000000012
002112,2021,0.254,0.26,薄弱,薄弱,0.006000000000000005
002112,2022,0.275,0.275,薄弱,薄弱,0.0
002112,2023,0.319,0.31,薄弱,薄弱,0.009000000000000008
002129,2018,0.484,0.506,蓄力,蓄力,0.02200000000000002
002129,2019,0.536,0.543,蓄力,蓄力,0.007000000000000006
002129,2020,0.542,0.537,蓄力,蓄力,0.0050000000000000044
002129,2021,0.638,0.642,蓄力,蓄力,0.0040000000000000036
002129,2022,0.634,0.632,蓄力,蓄力,0.0020000000000000018
002129,2023,0.617,0.605,蓄力,蓄力,0.01200000000000001
002137,2018,0.456,0.483,蓄力,蓄力,0.02699999999999997
002137,2019,0.597,0.612,蓄力,蓄力,0.015000000000000013
002137,2020,0.56,0.571,蓄力,蓄力,0.010999999999999899
002137,2021,0.506,0.511,蓄力,蓄力,0.0050000000000000044
002137,2022,0.666,0.653,蓄力,蓄力,0.013000000000000012
002137,2023,0.567,0.542,蓄力,蓄力,0.02499999999999991
002139,2018,0.59,0.613,蓄力,蓄力,0.02300000000000002
002139,2019,0.628,0.624,蓄力,蓄力,0.0040000000000000036
002139,2020,0.682,0.678,蓄力,蓄力,0.0040000000000000036
002139,2021,0.704,0.705,就绪,就绪,0.0010000000000000009
002139,2022,0.719,0.726,就绪,就绪,0.007000000000000006
002139,2023,0.717,0.716,就绪,就绪,0.0010000000000000009
002141,2018,0.466,0.496,蓄力,蓄力,0.02999999999999997
002141,2019,0.504,0.526,蓄力,蓄力,0.02200000000000002
002141,2020,0.447,0.448,蓄力,蓄力,0.0010000000000000009
002141,2021,0.534,0.539,蓄力,蓄力,0.0050000000000000044
002141,2022,0.726,0.718,就绪,就绪,0.008000000000000007
002141,2023,0.54,0.524,蓄力,蓄力,0.016000000000000014
002150,2018,0.456,0.458,蓄力,蓄力,0.0020000000000000018
002150,2019,0.471,0.472,蓄力,蓄力,0.0010000000000000009
002150,2020,0.509,0.512,蓄力,蓄力,0.0030000000000000027
002150,2021,0.508,0.52,蓄力,蓄力,0.01200000000000001
002150,2022,0.527,0.52,蓄力,蓄力,0.007000000000000006
002150,2023,0.486,0.48,蓄力,蓄力,0.006000000000000005
002168,2018,0.575,0.59,蓄力,蓄力,0.015000000000000013
002168,2019,0.406,0.42,蓄力,蓄力,0.013999999999999957
002168,2020,0.405,0.406,蓄力,蓄力,0.0010000000000000009
002168,2021,0.344,0.342,薄弱,薄弱,0.0019999999999999463
002168,2022,0.322,0.318,薄弱,薄弱,0.0040000000000000036
002168,2023,0.313,0.296,薄弱,薄弱,0.017000000000000015
002169,2018,0.422,0.437,蓄力,蓄力,0.015000000000000013
002169,2019,0.44,0.44,蓄力,蓄力,0.0
002169,2020,0.542,0.529,蓄力,蓄力,0.013000000000000012
002169,2021,0.557,0.568,蓄力,蓄力,0.010999999999999899
002169,2022,0.49,0.493,蓄力,蓄力,0.0030000000000000027
002169,2023,0.439,0.435,蓄力,蓄力,0.0040000000000000036
002184,2018,0.408,0.431,蓄力,蓄力,0.02300000000000002
002184,2019,0.431,0.441,蓄力,蓄力,0.010000000000000009
002184,2020,0.479,0.467,蓄力,蓄力,0.011999999999999955
002184,2021,0.482,0.492,蓄力,蓄力,0.010000000000000009
002184,2022,0.453,0.454,蓄力,蓄力,0.0010000000000000009
002184,2023,0.391,0.388,薄弱,薄弱,0.0030000000000000027
002196,2018,0.477,0.499,蓄力,蓄力,0.02200000000000002
002196,2019,0.547,0.557,蓄力,蓄力,0.010000000000000009
002196,2020,0.489,0.487,蓄力,蓄力,0.0020000000000000018
002196,2021,0.467,0.47,蓄力,蓄力,0.002999999999999947
002196,2022,0.44,0.438,蓄力,蓄力,0.0020000000000000018
002196,2023,0.467,0.449,蓄力,蓄力,0.018000000000000016
002218,2018,0.436,0.446,蓄力,蓄力,0.010000000000000009
002218,2019,0.447,0.453,蓄力,蓄力,0.006000000000000005
002218,2020,0.476,0.469,蓄力,蓄力,0.007000000000000006
002218,2021,0.547,0.549,蓄力,蓄力,0.0020000000000000018
002218,2022,0.522,0.514,蓄力,蓄力,0.008000000000000007
002218,2023,0.499,0.482,蓄力,蓄力,0.017000000000000015
002227,2018,0.535,0.556,蓄力,蓄力,0.02100000000000002
002227,2019,0.51,0.522,蓄力,蓄力,0.01200000000000001
002227,2020,0.501,0.5,蓄力,蓄力,0.0010000000000000009
002227,2021,0.521,0.532,蓄力,蓄力,0.01100000000000001
002227,2022,0.541,0.534,蓄力,蓄力,0.007000000000000006
002227,2023,0.532,0.503,蓄力,蓄力,0.029000000000000026
002242,2018,0.647,0.666,蓄力,蓄力,0.019000000000000017
002242,2019,0.608,0.621,蓄力,蓄力,0.013000000000000012
002242,2020,0.588,0.589,蓄力,蓄力,0.0010000000000000009
002242,2021,0.579,0.582,蓄力,蓄力,0.0030000000000000027
002242,2022,0.569,0.559,蓄力,蓄力,0.009999999999999898
002242,2023,0.55,0.543,蓄力,蓄力,0.007000000000000006
002245,2018,0.608,0.634,蓄力,蓄力,0.026000000000000023
002245,2019,0.491,0.507,蓄力,蓄力,0.016000000000000014
002245,2020,0.54,0.531,蓄力,蓄力,0.009000000000000008
002245,2021,0.619,0.619,蓄力,蓄力,0.0
002245,2022,0.65,0.641,蓄力,蓄力,0.009000000000000008
002245,2023,0.648,0.619,蓄力,蓄力,0.029000000000000026
002249,2018,0.539,0.552,蓄力,蓄力,0.013000000000000012
002249,2019,0.599,0.596,蓄力,蓄力,0.0030000000000000027
002249,2020,0.652,0.651,蓄力,蓄力,0.0010000000000000009
002249,2021,0.622,0.632,蓄力,蓄力,0.010000000000000009
002249,2022,0.653,0.651,蓄力,蓄力,0.0020000000000000018
002249,2023,0.683,0.674,蓄力,蓄力,0.009000000000000008
002270,2018,0.531,0.562,蓄力,蓄力,0.031000000000000028
002270,2019,0.606,0.623,蓄力,蓄力,0.017000000000000015
002270,2020,0.697,0.698,蓄力,蓄力,0.0010000000000000009
002270,2021,0.731,0.738,就绪,就绪,0.007000000000000006
002270,2022,0.727,0.72,就绪,就绪,0.007000000000000006
002270,2023,0.745,0.734,就绪,就绪,0.01100000000000001
002276,2018,0.557,0.587,蓄力,蓄力,0.029999999999999916
002276,2019,0.627,0.642,蓄力,蓄力,0.015000000000000013
002276,2020,0.614,0.612,蓄力,蓄力,0.0020000000000000018
002276,2021,0.57,0.576,蓄力,蓄力,0.006000000000000005
002276,2022,0.572,0.566,蓄力,蓄力,0.006000000000000005
002276,2023,0.564,0.546,蓄力,蓄力,0.017999999999999905
002290,2018,0.382,0.405,薄弱,蓄力,0.02300000000000002
002290,2019,0.26,0.276,薄弱,薄弱,0.016000000000000014
002290,2020,0.292,0.28,薄弱,薄弱,0.011999999999999955
002290,2021,0.326,0.327,薄弱,薄弱,0.0010000000000000009
002290,2022,0.33,0.33,薄弱,薄弱,0.0
002290,2023,0.328,0.324,薄弱,薄弱,0.0040000000000000036
002296,2018,0.528,0.545,蓄力,蓄力,0.017000000000000015
002296,2019,0.557,0.569,蓄力,蓄力,0.0119999999999999
002296,2020,0.56,0.549,蓄力,蓄力,0.01100000000000001
002296,2021,0.583,0.59,蓄力,蓄力,0.007000000000000006
002296,2022,0.561,0.563,蓄力,蓄力,0.0019999999999998908
002296,2023,0.585,0.578,蓄力,蓄力,0.007000000000000006
002298,2018,0.563,0.584,蓄力,蓄力,0.02100000000000002
002298,2019,0.562,0.57,蓄力,蓄力,0.007999999999999896
002298,2020,0.556,0.551,蓄力,蓄力,0.0050000000000000044
002298,2021,0.564,0.571,蓄力,蓄力,0.007000000000000006
002298,2022,0.496,0.496,蓄力,蓄力,0.0
002298,2023,0.454,0.443,蓄力,蓄力,0.01100000000000001
002300,2018,0.406,0.428,蓄力,蓄力,0.021999999999999964
002300,2019,0.419,0.424,蓄力,蓄力,0.0050000000000000044
002300,2020,0.433,0.421,蓄力,蓄力,0.01200000000000001
002300,2021,0.369,0.373,薄弱,薄弱,0.0040000000000000036
002300,2022,0.378,0.378,薄弱,薄弱,0.0
002300,2023,0.37,0.37,薄弱,薄弱,0.0
002309,2018,0.547,0.562,蓄力,蓄力,0.015000000000000013
002309,2019,0.609,0.609,蓄力,蓄力,0.0
002309,2020,0.504,0.498,蓄力,蓄力,0.006000000000000005
002309,2021,0.518,0.519,蓄力,蓄力,0.0010000000000000009
002309,2022,0.472,0.467,蓄力,蓄力,0.004999999999999949
002309,2023,0.446,0.439,蓄力,蓄力,0.007000000000000006
002334,2018,0.648,0.67,蓄力,蓄力,0.02200000000000002
002334,2019,0.514,0.528,蓄力,蓄力,0.014000000000000012
002334,2020,0.606,0.607,蓄力,蓄力,0.0010000000000000009
002334,2021,0.634,0.633,蓄力,蓄力,0.0010000000000000009
002334,2022,0.636,0.629,蓄力,蓄力,0.007000000000000006
002334,2023,0.675,0.672,蓄力,蓄力,0.0030000000000000027
002335,2018,0.527,0.558,蓄力,蓄力,0.031000000000000028
002335,2019,0.574,0.594,蓄力,蓄力,0.020000000000000018
002335,2020,0.591,0.584,蓄力,蓄力,0.007000000000000006
002335,2021,0.59,0.594,蓄力,蓄力,0.0040000000000000036
002335,2022,0.56,0.554,蓄力,蓄力,0.006000000000000005
002335,2023,0.61,0.599,蓄力,蓄力,0.01100000000000001
002339,2018,0.482,0.493,蓄力,蓄力,0.01100000000000001
002339,2019,0.531,0.53,蓄力,蓄力,0.0010000000000000009
002339,2020,0.568,0.574,蓄力,蓄力,0.006000000000000005
002339,2021,0.529,0.544,蓄力,蓄力,0.015000000000000013
002339,2022,0.521,0.521,蓄力,蓄力,0.0
002339,2023,0.563,0.538,蓄力,蓄力,0.02499999999999991
002346,2018,0.407,0.424,蓄力,蓄力,0.017000000000000015
002346,2019,0.42,0.429,蓄力,蓄力,0.009000000000000008
002346,2020,0.474,0.461,蓄力,蓄力,0.012999999999999956
002346,2021,0.582,0.595,蓄力,蓄力,0.013000000000000012
002346,2022,0.509,0.51,蓄力,蓄力,0.0010000000000000009
002346,2023,0.457,0.456,蓄力,蓄力,0.0010000000000000009
002350,2018,0.465,0.481,蓄力,蓄力,0.01599999999999996
002350,2019,0.497,0.502,蓄力,蓄力,0.0050000000000000044
002350,2020,0.5,0.503,蓄力,蓄力,0.0030000000000000027
002350,2021,0.513,0.523,蓄力,蓄力,0.010000000000000009
002350,2022,0.45,0.451,蓄力,蓄力,0.0010000000000000009
002350,2023,0.428,0.405,蓄力,蓄力,0.022999999999999965
002358,2018,0.483,0.495,蓄力,蓄力,0.01200000000000001
002358,2019,0.502,0.496,蓄力,蓄力,0.006000000000000005
002358,2020,0.445,0.435,蓄力,蓄力,0.010000000000000009
002358,2021,0.461,0.468,蓄力,蓄力,0.007000000000000006
002358,2022,0.454,0.457,蓄力,蓄力,0.0030000000000000027
002358,2023,0.405,0.396,蓄力,薄弱,0.009000000000000008
002364,2018,0.642,0.669,蓄力,蓄力,0.027000000000000024
002364,2019,0.641,0.665,蓄力,蓄力,0.02400000000000002
002364,2020,0.587,0.59,蓄力,蓄力,0.0030000000000000027
002364,2021,0.599,0.604,蓄力,蓄力,0.0050000000000000044
002364,2022,0.581,0.577,蓄力,蓄力,0.0040000000000000036
002364,2023,0.61,0.582,蓄力,蓄力,0.028000000000000025
002451,2018,0.283,0.306,薄弱,薄弱,0.02300000000000002
002451,2019,0.378,0.389,薄弱,薄弱,0.01100000000000001
002451,2020,0.358,0.349,薄弱,薄弱,0.009000000000000008
002451,2021,0.35,0.363,薄弱,薄弱,0.013000000000000012
002451,2022,0.332,0.328,薄弱,薄弱,0.0040000000000000036
002451,2023,0.303,0.29,薄弱,薄弱,0.013000000000000012
002452,2018,0.377,0.396,薄弱,薄弱,0.019000000000000017
002452,2019,0.461,0.467,蓄力,蓄力,0.006000000000000005
002452,2020,0.45,0.436,蓄力,蓄力,0.014000000000000012
002452,2021,0.569,0.577,蓄力,蓄力,0.008000000000000007
002452,2022,0.493,0.487,蓄力,蓄力,0.006000000000000005
002452,2023,0.541,0.532,蓄力,蓄力,0.009000000000000008
002459,2018,0.448,0.477,蓄力,蓄力,0.02899999999999997
002459,2019,0.583,0.583,蓄力,蓄力,0.0
002459,2020,0.612,0.601,蓄力,蓄力,0.01100000000000001
002459,2021,0.578,0.571,蓄力,蓄力,0.007000000000000006
002459,2022,0.671,0.669,蓄力,蓄力,0.0020000000000000018
002459,2023,0.642,0.659,蓄力,蓄力,0.017000000000000015
002471,2018,0.38,0.4,薄弱,蓄力,0.020000000000000018
002471,2019,0.341,0.343,薄弱,薄弱,0.0020000000000000018
002471,2020,0.363,0.356,薄弱,薄弱,0.007000000000000006
002471,2021,0.36,0.366,薄弱,薄弱,0.006000000000000005
002471,2022,0.343,0.346,薄弱,薄弱,0.002999999999999947
002471,2023,0.411,0.408,蓄力,蓄力,0.0030000000000000027
002491,2018,0.526,0.552,蓄力,蓄力,0.026000000000000023
002491,2019,0.411,0.428,蓄力,蓄力,0.017000000000000015
002491,2020,0.433,0.43,蓄力,蓄力,0.0030000000000000027
002491,2021,0.395,0.407,薄弱,蓄力,0.011999999999999955
002491,2022,0.437,0.43,蓄力,蓄力,0.007000000000000006
002491,2023,0.481,0.457,蓄力,蓄力,0.023999999999999966
002498,2018,0.618,0.649,蓄力,蓄力,0.031000000000000028
002498,2019,0.757,0.761,就绪,就绪,0.0040000000000000036
002498,2020,0.764,0.762,就绪,就绪,0.0020000000000000018
002498,2021,0.791,0.795,就绪,就绪,0.0040000000000000036
002498,2022,0.775,0.769,就绪,就绪,0.006000000000000005
002498,2023,0.773,0.764,就绪,就绪,0.009000000000000008
002506,2018,0.487,0.504,蓄力,蓄力,0.017000000000000015
002506,2019,0.502,0.501,蓄力,蓄力,0.0010000000000000009
002506,2020,0.471,0.465,蓄力,蓄力,0.00599999999999995
002506,2021,0.461,0.461,蓄力,蓄力,0.0
002506,2022,0.453,0.453,蓄力,蓄力,0.0
002506,2023,0.445,0.441,蓄力,蓄力,0.0040000000000000036
002508,2018,0.64,0.645,蓄力,蓄力,0.0050000000000000044
002508,2019,0.642,0.648,蓄力,蓄力,0.006000000000000005
002508,2020,0.634,0.636,蓄力,蓄力,0.0020000000000000018
002508,2021,0.617,0.63,蓄力,蓄力,0.013000000000000012
002508,2022,0.636,0.633,蓄力,蓄力,0.0030000000000000027
002508,2023,0.685,0.668,蓄力,蓄力,0.017000000000000015
002513,2018,0.346,0.361,薄弱,薄弱,0.015000000000000013
002513,2019,0.301,0.306,薄弱,薄弱,0.0050000000000000044
002513,2020,0.291,0.282,薄弱,薄弱,0.009000000000000008
002513,2021,0.181,0.188,薄弱,薄弱,0.007000000000000006
002513,2022,0.152,0.148,薄弱,薄弱,0.0040000000000000036
002513,2023,0.227,0.223,薄弱,薄弱,0.0040000000000000036
002518,2018,0.687,0.705,蓄力,就绪,0.017999999999999905
002518,2019,0.742,0.743,就绪,就绪,0.0010000000000000009
002518,2020,0.76,0.761,就绪,就绪,0.0010000000000000009
002518,2021,0.732,0.737,就绪,就绪,0.0050000000000000044
002518,2022,0.695,0.692,蓄力,蓄力,0.0030000000000000027
002518,2023,0.741,0.726,就绪,就绪,0.015000000000000013
002531,2018,0.479,0.497,蓄力,蓄力,0.018000000000000016
002531,2019,0.541,0.549,蓄力,蓄力,0.008000000000000007
002531,2020,0.574,0.568,蓄力,蓄力,0.006000000000000005
002531,2021,0.58,0.588,蓄力,蓄力,0.008000000000000007
002531,2022,0.486,0.487,蓄力,蓄力,0.0010000000000000009
002531,2023,0.471,0.457,蓄力,蓄力,0.013999999999999957
002533,2018,0.573,0.606,蓄力,蓄力,0.03300000000000003
002533,2019,0.548,0.562,蓄力,蓄力,0.014000000000000012
002533,2020,0.567,0.56,蓄力,蓄力,0.006999999999999895
002533,2021,0.53,0.533,蓄力,蓄力,0.0030000000000000027
002533,2022,0.548,0.551,蓄力,蓄力,0.0030000000000000027
002533,2023,0.535,0.541,蓄力,蓄力,0.006000000000000005
002543,2018,0.566,0.588,蓄力,蓄力,0.02200000000000002
002543,2019,0.65,0.648,蓄力,蓄力,0.0020000000000000018
002543,2020,0.606,0.598,蓄力,蓄力,0.008000000000000007
002543,2021,0.543,0.541,蓄力,蓄力,0.0020000000000000018
002543,2022,0.626,0.618,蓄力,蓄力,0.008000000000000007
002543,2023,0.629,0.623,蓄力,蓄力,0.006000000000000005
002560,2018,0.321,0.331,薄弱,薄弱,0.010000000000000009
002560,2019,0.398,0.403,薄弱,蓄力,0.0050000000000000044
002560,2020,0.447,0.443,蓄力,蓄力,0.0040000000000000036
002560,2021,0.404,0.416,蓄力,蓄力,0.011999999999999955
002560,2022,0.388,0.386,薄弱,薄弱,0.0020000000000000018
002560,2023,0.424,0.415,蓄力,蓄力,0.009000000000000008
002576,2018,0.354,0.375,薄弱,薄弱,0.02100000000000002
002576,2019,0.356,0.365,薄弱,薄弱,0.009000000000000008
002576,2020,0.425,0.407,蓄力,蓄力,0.018000000000000016
002576,2021,0.387,0.39,薄弱,薄弱,0.0030000000000000027
002576,2022,0.385,0.378,薄弱,薄弱,0.007000000000000006
002576,2023,0.453,0.45,蓄力,蓄力,0.0030000000000000027
002580,2018,0.446,0.468,蓄力,蓄力,0.02200000000000002
002580,2019,0.46,0.478,蓄力,蓄力,0.01799999999999996
002580,2020,0.548,0.557,蓄力,蓄力,0.009000000000000008
002580,2021,0.515,0.522,蓄力,蓄力,0.007000000000000006
002580,2022,0.577,0.572,蓄力,蓄力,0.0050000000000000044
002580,2023,0.6,0.585,蓄力,蓄力,0.015000000000000013
002606,2018,0.386,0.397,薄弱,薄弱,0.01100000000000001
002606,2019,0.471,0.484,蓄力,蓄力,0.013000000000000012
002606,2020,0.519,0.506,蓄力,蓄力,0.013000000000000012
002606,2021,0.562,0.574,蓄力,蓄力,0.0119999999999999
002606,2022,0.535,0.53,蓄力,蓄力,0.0050000000000000044
002606,2023,0.462,0.441,蓄力,蓄力,0.02100000000000002
002614,2018,0.582,0.598,蓄力,蓄力,0.016000000000000014
002614,2019,0.586,0.578,蓄力,蓄力,0.008000000000000007
002614,2020,0.662,0.649,蓄力,蓄力,0.013000000000000012
002614,2021,0.667,0.666,蓄力,蓄力,0.0010000000000000009
002614,2022,0.62,0.616,蓄力,蓄力,0.0040000000000000036
002614,2023,0.642,0.629,蓄力,蓄力,0.013000000000000012
002617,2018,0.248,0.259,薄弱,薄弱,0.01100000000000001
002617,2019,0.378,0.388,薄弱,薄弱,0.010000000000000009
002617,2020,0.365,0.355,薄弱,薄弱,0.010000000000000009
002617,2021,0.345,0.353,薄弱,薄弱,0.008000000000000007
002617,2022,0.43,0.427,蓄力,蓄力,0.0030000000000000027
